,time,comment,contributor
31,17:02:08,８８８８８８８８８８８８８８８８, 開始 コメント見える君/田貝
32,17:02:12,888888888888888888888, 開始 コメント見える君/濱田悠璃
33,17:02:17,なるほど…, 開始 Masaya Mori
34,17:02:28,分かりました！！, 開始 コメント見える君/濱田悠璃
35,17:02:35,Ficy: Fishing cyber physical system, 開始 上野
36,17:02:50,きれい！, 開始 コメント見える君/田貝
37,17:03:00,みんな資料きれいよねー, 開始 博光 楓
38,17:03:13,これ気になってたやつです!, 開始 Masaya Mori
39,17:03:23,888888888888, 開始 コメント見える君/濱田悠璃
40,17:03:24,発表楽しみです・・・！, 開始 コメント見える君/田貝
41,17:03:27,888888888888888888888888888888888, 開始 コメント見える君/田貝
42,17:04:06,わくわく, 開始 コメント見える君/田貝
43,17:04:10,Social Dock, 開始 上野
44,17:04:31,きれい・・・, 開始 コメント見える君/田貝
45,17:04:52,これは便利…!, 開始 Masaya Mori
46,17:04:56,ほしい！, 開始 Comment Share 原田
47,17:05:05,きれい・・・！, 開始 コメント見える君/田貝
48,17:05:17,たのしみ, 開始 コメント見える君/田貝
49,17:05:22,88888888888888888, 開始 コメント見える君/濱田悠璃
50,17:05:25,Share Trip, 開始 上野
51,17:05:46,モチベが上がりますね, 開始 コメント見える君/田貝
52,17:06:27,ほやほや～, 開始 コメント見える君/田貝
53,17:06:35,8888888888888888, 開始 コメント見える君/田貝
54,17:06:38,Telorain, 開始 上野
55,17:07:05,〜つまずく初学者を救え〜 一文注釈共有サービス「Comment Share」, 開始 上野
56,17:07:45,88888888888888, 開始 コメント見える君/田貝
57,17:07:56,発表楽しみです・・・, 開始 コメント見える君/田貝
58,17:08:11,遠い．．．, 開始 Hangout-Manager / 大場雅士
59,17:08:11,NAISTの立地0点, 開始 吉成祐貴(CommentShare)
60,17:08:14,仮想通貨自動取引bot, 開始 上野
61,17:08:16,笑, 開始 Ficy_福田
62,17:08:32,みえてます！, 開始 コメント見える君/田貝
63,17:09:32,88888888888888, 開始 コメント見える君/田貝
64,17:09:46,AxStudio, 開始 上野
65,17:10:27,すご, 開始 コメント見える君/田貝
66,17:10:33,やば, 開始 ISHIZAWA KAORU
67,17:10:35,つよすぎる, 開始 コメント見える君/濱田悠璃
68,17:10:36,なんと、、、！, 開始 Comment Share 原田
69,17:10:42,プレゼンが気になる・・・・・, 開始 コメント見える君/田貝
70,17:10:55,未踏つよい, 開始 コメント見える君/田貝
71,17:11:00,これはつよつよ, 開始 ISHIZAWA KAORU
72,17:11:07,SaaS 型価格分析ツール「Pricing Sprint」, 開始 上野
73,17:11:38,みんなにんげんだから！, 開始 コメント見える君/田貝
74,17:11:58,UIきれいですね～～～, 開始 コメント見える君/田貝
75,17:12:14,にんげんじゃない可能性はチョットアル, 開始 博光 楓
76,17:12:15,使いやすそう, 開始 コメント見える君/田貝
77,17:12:23,88888888888888888888888, 開始 コメント見える君/田貝
78,17:12:29,8888888888888888888888888, 開始 吉成祐貴(CommentShare)
79,17:12:45,Atsumeta, 開始 上野
80,17:12:59,みんなすごいので頑張ります・・・, 開始 コメント見える君/田貝
81,17:13:10,りすかわいい, 開始 Masaya Mori
82,17:13:52,8888888888, 開始 AxStudio 大渕雄生
83,17:13:56,888888, 開始 コメント見える君/田貝
84,17:14:01,8888888888888, 開始 コメント見える君/濱田悠璃
85,17:14:06,Auto Recipe, 開始 上野
86,17:15:10,888888888888888888888888, 開始 コメント見える君/田貝
87,17:15:10,88888888888888888, 開始 コメント見える君/濱田悠璃
88,17:15:30,CommentScreen, 開始 上野
89,17:15:31,さいご！！, 開始 コメント見える君/田貝
90,17:16:36,高いです・・・・, 開始 コメント見える君/田貝
91,17:16:48,ハードル高すぎて胃が痛いです・・・, 開始 コメント見える君/田貝
92,17:16:52,たしかに, 開始 Hangout-Manager / 大場雅士
93,17:16:53,レベル高くてガクブルです, 開始 コメント見える君/濱田悠璃
94,17:18:05,すみません、ちょっと参加厳しいので落ちます。, 開始 Auto Recipes / Kengo Matsuura
95,17:18:08,たくさん話せますね！, 開始 コメント見える君/田貝
96,17:18:20,わかりました～, 開始 コメント見える君/田貝
97,17:25:38,https://twitter.com/masashi00018後付け, 開始 Hangout-Manager / 大場雅士
